label	x	y	z
CP4	0.5547	-0.3048	0.7742
CP4h	0.4280	-0.3066	0.8502
CP5	-0.7658	-0.3000	0.5688
CP5h	-0.6682	-0.3026	0.6797
CP6	0.7658	-0.3000	0.5688
CP6h	0.6682	-0.3026	0.6797
CPP1	-0.2692	-0.4524	0.8502
CPP1h	-0.1361	-0.4536	0.8808
CPP2	0.2692	-0.4524	0.8502
CPP2h	0.1361	-0.4536	0.8808
CPP3	-0.5141	-0.4479	0.7315
CPP3h	-0.3961	-0.4505	0.8001
CPP4	0.5141	-0.4479	0.7315
CPP4h	0.3961	-0.4505	0.8001
CPP5	-0.7128	-0.4408	0.5455
CPP5h	-0.6205	-0.4447	0.6460
CPP6	0.7128	-0.4408	0.5455
CPP6h	0.6205	-0.4447	0.6460
CPPz	0.0000	-0.4540	0.8910
CPz	0.0000	-0.3090	0.9511
Cz	0.0000	0.0000	1.0000
F1	-0.2394	0.5858	0.7743
F10	0.8090	0.5878	0.0000
F10h	0.7991	0.5806	0.1564
F1h	-0.1210	0.5873	0.8003
F2	0.2394	0.5858	0.7743
F2h	0.1210	0.5873	0.8003
F3	-0.4591	0.5800	0.6730
F3h	-0.3529	0.5833	0.7316
F4	0.4591	0.5800	0.6730
F4h	0.3529	0.5833	0.7316
F5	-0.6408	0.5708	0.5135
F5h	-0.5557	0.5758	0.5998
F6	0.6408	0.5708	0.5135
F6h	0.5557	0.5758	0.5998
F7	-0.7695	0.5590	0.3090
F7h	-0.7125	0.5652	0.4159
F8	0.7695	0.5590	0.3090
F8h	0.7125	0.5652	0.4159
F9	-0.8090	0.5878	0.0000
F9h	-0.7991	0.5806	0.1564
FC1	-0.2911	0.3079	0.9058
FC1h	-0.1473	0.3087	0.9397
FC2	0.2911	0.3079	0.9058
FC2h	0.1473	0.3087	0.9397
FC3	-0.5547	0.3048	0.7742
FC3h	-0.4280	0.3066	0.8502
FC4	0.5547	0.3048	0.7742
FC4h	0.4280	0.3066	0.8502
FC5	-0.7658	0.3000	0.5688
FC5h	-0.6682	0.3026	0.6797
FC6	0.7658	0.3000	0.5688
FC6h	0.6682	0.3026	0.6797
FCC1	-0.3045	0.1559	0.9397
FCC1h	-0.1541	0.1563	0.9757
FCC2	0.3045	0.1559	0.9397
FCC2h	0.1541	0.1563	0.9757
FCC3	-0.5795	0.1543	0.8003
FCC3h	-0.4475	0.1552	0.8808
FCC4	0.5795	0.1543	0.8003
FCC4h	0.4475	0.1552	0.8808
FCC5	-0.7982	0.1519	0.5830
FCC5h	-0.6974	0.1532	0.7002
FCC6	0.7982	0.1519	0.5830
FCC6h	0.6974	0.1532	0.7002
FCCz	0.0000	0.1564	0.9877
FCz	0.0000	0.3090	0.9511
FFC1	-0.2692	0.4524	0.8502
FFC1h	-0.1361	0.4536	0.8808
FFC2	0.2692	0.4524	0.8502
FFC2h	0.1361	0.4536	0.8808
FFC3	-0.5141	0.4479	0.7315
FFC3h	-0.3961	0.4505	0.8001
FFC4	0.5141	0.4479	0.7315
FFC4h	0.3961	0.4505	0.8001
FFC5	-0.7128	0.4408	0.5455
FFC5h	-0.6205	0.4447	0.6460
FFC6	0.7128	0.4408	0.5455
FFC6h	0.6205	0.4447	0.6460
FFCz	0.0000	0.4540	0.8910
FFT10	0.8910	0.4540	0.0000
FFT10h	0.8800	0.4484	0.1564
FFT7	-0.8474	0.4318	0.3090
FFT7h	-0.7890	0.4365	0.4323
FFT8	0.8474	0.4318	0.3090
FFT8h	0.7890	0.4365	0.4323
FFT9	-0.8910	0.4540	0.0000
FFT9h	-0.8800	0.4484	0.1564
FT10	0.9511	0.3090	0.0000
FT10h	0.9394	0.3052	0.1564
FT7	-0.9045	0.2939	0.3090
FT7h	-0.8452	0.2971	0.4443
FT8	0.9045	0.2939	0.3090
FT8h	0.8452	0.2971	0.4443
FT9	-0.9511	0.3090	0.0000
FT9h	-0.9394	0.3052	0.1564
FTT10	0.9877	0.1564	0.0000
FTT10h	0.9755	0.1545	0.1564
FTT7	-0.9394	0.1488	0.3090
FTT7h	-0.8795	0.1504	0.4515
FTT8	0.9394	0.1488	0.3090
FTT8h	0.8795	0.1504	0.4515
FTT9	-0.9877	0.1564	0.0000
FTT9h	-0.9755	0.1545	0.1564
Fp1	-0.2939	0.9045	0.3090
Fp1h	-0.1488	0.9394	0.3090
Fp2	0.2939	0.9045	0.3090
Fp2h	0.1488	0.9394	0.3090
Fpz	0.0000	0.9511	0.3090
Fz	0.0000	0.5878	0.8090
I1	-0.3090	-0.9511	0.0000
I1h	-0.1564	-0.9877	0.0000
I2	0.3090	-0.9511	0.0000
I2h	0.1564	-0.9877	0.0000
Iz	0.0000	-1.0000	0.0000
LPA	-1.0000	0.0000	0.0000
N1	-0.3090	0.9511	0.0000
N1h	-0.1564	0.9877	0.0000
N2	0.3090	0.9511	0.0000
N2h	0.1564	0.9877	0.0000
NAS	0.0000	1.0000	0.0000
NFp1	-0.3052	0.9394	0.1564
NFp1h	-0.1545	0.9755	0.1564
NFp2	0.3052	0.9394	0.1564
NFp2h	0.1545	0.9755	0.1564
NFpz	0.0000	0.9877	0.1564
Nz	0.0000	1.0000	0.0000
O1	-0.2939	-0.9045	0.3090
O1h	-0.1488	-0.9394	0.3090
O2	0.2939	-0.9045	0.3090
O2h	0.1488	-0.9394	0.3090
OI1	-0.3052	-0.9394	0.1564
OI1h	-0.1545	-0.9755	0.1564
OI2	0.3052	-0.9394	0.1564
OI2h	0.1545	-0.9755	0.1564
OIz	0.0000	-0.9877	0.1564
Oz	0.0000	-0.9511	0.3090
P1	-0.2394	-0.5858	0.7743
P10	0.8090	-0.5878	0.0000
P10h	0.7991	-0.5806	0.1564
P1h	-0.1210	-0.5873	0.8003
P2	0.2394	-0.5858	0.7743
P2h	0.1210	-0.5873	0.8003
P3	-0.4591	-0.5800	0.6730
P3h	-0.3529	-0.5833	0.7316
P4	0.4591	-0.5800	0.6730
P4h	0.3529	-0.5833	0.7316
P5	-0.6408	-0.5708	0.5135
P5h	-0.5557	-0.5758	0.5998
P6	0.6408	-0.5708	0.5135
P6h	0.5557	-0.5758	0.5998
P7	-0.7695	-0.5590	0.3090
P7h	-0.7125	-0.5652	0.4159
P8	0.7695	-0.5590	0.3090
P8h	0.7125	-0.5652	0.4159
P9	-0.8090	-0.5878	0.0000
P9h	-0.7991	-0.5806	0.1564
PO1	-0.1608	-0.8064	0.5692
PO10	0.5878	-0.8090	0.0000
PO10h	0.5806	-0.7991	0.1564
PO1h	-0.0810	-0.8083	0.5832
PO2	0.1608	-0.8064	0.5692
PO2h	0.0810	-0.8083	0.5832
PO3	-0.3130	-0.7986	0.5142
PO3h	-0.2385	-0.8031	0.5461
PO4	0.3130	-0.7986	0.5142
PO4h	0.2385	-0.8031	0.5461
PO5	-0.4481	-0.7861	0.4259
PO5h	-0.3832	-0.7929	0.4740
PO6	0.4481	-0.7861	0.4259
PO6h	0.3832	-0.7929	0.4740
PO7	-0.5590	-0.7695	0.3090
PO7h	-0.5070	-0.7782	0.3706
PO8	0.5590	-0.7695	0.3090
PO8h	0.5070	-0.7782	0.3706
PO9	-0.5878	-0.8090	0.0000
PO9h	-0.5806	-0.7991	0.1564
POO1	-0.1160	-0.8882	0.4446
POO10	0.4540	-0.8910	0.0000
POO10h	0.4484	-0.8800	0.1564
POO1h	-0.0582	-0.8903	0.4517
POO2	0.1160	-0.8882	0.4446
POO2h	0.0582	-0.8903	0.4517
POO3	-0.2288	-0.8798	0.4167
POO3h	-0.1730	-0.8847	0.4329
POO4	0.2288	-0.8798	0.4167
POO4h	0.1730	-0.8847	0.4329
POO5	-0.3350	-0.8661	0.3711
POO5h	-0.2829	-0.8736	0.3960
POO6	0.3350	-0.8661	0.3711
POO6h	0.2829	-0.8736	0.3960
POO7	-0.4318	-0.8474	0.3090
POO7h	-0.3848	-0.8573	0.3420
POO8	0.4318	-0.8474	0.3090
POO8h	0.3848	-0.8573	0.3420
POO9	-0.4540	-0.8910	0.0000
POO9h	-0.4484	-0.8800	0.1564
POOz	0.0000	-0.8910	0.4540
POz	0.0000	-0.8090	0.5878
PPO1	-0.2028	-0.7047	0.6799
PPO10	0.7071	-0.7071	0.0000
PPO10h	0.6984	-0.6984	0.1564
PPO1h	-0.1023	-0.7065	0.7003
PPO2	0.2028	-0.7047	0.6799
PPO2h	0.1023	-0.7065	0.7003
PPO3	-0.3911	-0.6978	0.6001
PPO3h	-0.2997	-0.7018	0.6463
PPO4	0.3911	-0.6978	0.6001
PPO4h	0.2997	-0.7018	0.6463
PPO5	-0.5515	-0.6868	0.4734
PPO5h	-0.4756	-0.6928	0.5421
PPO6	0.5515	-0.6868	0.4734
PPO6h	0.4756	-0.6928	0.5421
PPO7	-0.6725	-0.6725	0.3090
PPO7h	-0.6175	-0.6800	0.3953
PPO8	0.6725	-0.6725	0.3090
PPO8h	0.6175	-0.6800	0.3953
PPO9	-0.7071	-0.7071	0.0000
PPO9h	-0.6984	-0.6984	0.1564
PPOz	0.0000	-0.7071	0.7071
Pz	0.0000	-0.5878	0.8090
RPA	1.0000	0.0000	0.0000
T10	1.0000	0.0000	0.0000
T10h	0.9877	0.0000	0.1564
T7	-0.9511	0.0000	0.3090
T7h	-0.8910	0.0000	0.4540
T8	0.9511	0.0000	0.3090
T8h	0.8910	0.0000	0.4540
T9	-1.0000	0.0000	0.0000
T9h	-0.9877	0.0000	0.1564
TP10	0.9511	-0.3090	0.0000
TP10h	0.9394	-0.3052	0.1564
TP7	-0.9045	-0.2939	0.3090
TP7h	-0.8452	-0.2971	0.4443
TP8	0.9045	-0.2939	0.3090
TP8h	0.8452	-0.2971	0.4443
TP9	-0.9511	-0.3090	0.0000
TP9h	-0.9394	-0.3052	0.1564
TPP10	0.8910	-0.4540	0.0000
TPP10h	0.8800	-0.4484	0.1564
TPP7	-0.8474	-0.4318	0.3090
TPP7h	-0.7890	-0.4365	0.4323
TPP8	0.8474	-0.4318	0.3090
TPP8h	0.7890	-0.4365	0.4323
TPP9	-0.8910	-0.4540	0.0000
TPP9h	-0.8800	-0.4484	0.1564
TTP10	0.9877	-0.1564	0.0000
TTP10h	0.9755	-0.1545	0.1564
TTP7	-0.9394	-0.1488	0.3090
TTP7h	-0.8795	-0.1504	0.4515
TTP8	0.9394	-0.1488	0.3090
TTP8h	0.8795	-0.1504	0.4515
TTP9	-0.9877	-0.1564	0.0000
TTP9h	-0.9755	-0.1545	0.1564
