label	x	y	z
AF1	-0.1608	0.8064	0.5692
AF10	0.5878	0.8090	0.0000
AF10h	0.5806	0.7991	0.1564
AF1h	-0.0810	0.8083	0.5832
AF2	0.1608	0.8064	0.5692
AF2h	0.0810	0.8083	0.5832
AF3	-0.3130	0.7986	0.5142
AF3h	-0.2385	0.8031	0.5461
AF4	0.3130	0.7986	0.5142
AF4h	0.2385	0.8031	0.5461
AF5	-0.4481	0.7861	0.4259
AF5h	-0.3832	0.7929	0.4740
AF6	0.4481	0.7861	0.4259
AF6h	0.3832	0.7929	0.4740
AF7	-0.5590	0.7695	0.3090
AF7h	-0.5070	0.7782	0.3706
AF8	0.5590	0.7695	0.3090
AF8h	0.5070	0.7782	0.3706
AF9	-0.5878	0.8090	0.0000
AF9h	-0.5806	0.7991	0.1564
AFF1	-0.2028	0.7047	0.6799
AFF10	0.7071	0.7071	0.0000
AFF10h	0.6984	0.6984	0.1564
AFF1h	-0.1023	0.7065	0.7003
AFF2	0.2028	0.7047	0.6799
AFF2h	0.1023	0.7065	0.7003
AFF3	-0.3911	0.6978	0.6001
AFF3h	-0.2997	0.7018	0.6463
AFF4	0.3911	0.6978	0.6001
AFF4h	0.2997	0.7018	0.6463
AFF5	-0.5515	0.6868	0.4734
AFF5h	-0.4756	0.6928	0.5421
AFF6	0.5515	0.6868	0.4734
AFF6h	0.4756	0.6928	0.5421
AFF7	-0.6725	0.6725	0.3090
AFF7h	-0.6175	0.6800	0.3953
AFF8	0.6725	0.6725	0.3090
AFF8h	0.6175	0.6800	0.3953
AFF9	-0.7071	0.7071	0.0000
AFF9h	-0.6984	0.6984	0.1564
AFFz	0.0000	0.7071	0.7071
AFp1	-0.1160	0.8882	0.4446
AFp10	0.4540	0.8910	0.0000
AFp10h	0.4484	0.8800	0.1564
AFp1h	-0.0582	0.8903	0.4517
AFp2	0.1160	0.8882	0.4446
AFp2h	0.0582	0.8903	0.4517
AFp3	-0.2288	0.8798	0.4167
AFp3h	-0.1730	0.8847	0.4329
AFp4	0.2288	0.8798	0.4167
AFp4h	0.1730	0.8847	0.4329
AFp5	-0.3350	0.8661	0.3711
AFp5h	-0.2829	0.8736	0.3960
AFp6	0.3350	0.8661	0.3711
AFp6h	0.2829	0.8736	0.3960
AFp7	-0.4318	0.8474	0.3090
AFp7h	-0.3848	0.8573	0.3420
AFp8	0.4318	0.8474	0.3090
AFp8h	0.3848	0.8573	0.3420
AFp9	-0.4540	0.8910	0.0000
AFp9h	-0.4484	0.8800	0.1564
AFpz	0.0000	0.8910	0.4540
AFz	0.0000	0.8090	0.5878
C1	-0.3090	0.0000	0.9511
C1h	-0.1564	0.0000	0.9877
C2	0.3090	0.0000	0.9511
C2h	0.1564	0.0000	0.9877
C3	-0.5878	0.0000	0.8090
C3h	-0.4540	0.0000	0.8910
C4	0.5878	0.0000	0.8090
C4h	0.4540	0.0000	0.8910
C5	-0.8090	0.0000	0.5878
C5h	-0.7071	0.0000	0.7071
C6	0.8090	0.0000	0.5878
C6h	0.7071	0.0000	0.7071
CCP1	-0.3045	-0.1559	0.9397
CCP1h	-0.1541	-0.1563	0.9757
CCP2	0.3045	-0.1559	0.9397
CCP2h	0.1541	-0.1563	0.9757
CCP3	-0.5795	-0.1543	0.8003
CCP3h	-0.4475	-0.1552	0.8808
CCP4	0.5795	-0.1543	0.8003
CCP4h	0.4475	-0.1552	0.8808
CCP5	-0.7982	-0.1519	0.5830
CCP5h	-0.6974	-0.1532	0.7002
CCP6	0.7982	-0.1519	0.5830
CCP6h	0.6974	-0.1532	0.7002
CCPz	0.0000	-0.1564	0.9877
CP1	-0.2911	-0.3079	0.9058
CP1h	-0.1473	-0.3087	0.9397
CP2	0.2911	-0.3079	0.9058
CP2h	0.1473	-0.3087	0.9397
CP3	-0.5547	-0.3048	0.7742
CP3h	-0.4280	-0.3066	0.8502
