label	x	y	z
LPA	-0.0820787224767085	-0.0293041925438933	-0.0411245510037724
RPA	0.0834811119150642	-0.0285034070849422	-0.0407909563372145
NAS	0.0015257470752712	0.0857120972834004	-0.0352920505030129
Fp1	-0.0292811604883705	0.0839923366306848	0.0027166993525041
Fpz	0.0010145384588165	0.0887770581271724	0.0044033463354227
Fp2	0.0306257951597534	0.084018322869127	0.0028308106557744
AF7	-0.0540586961883833	0.0659147316247142	0.0010325910836783
AFz	0.0006286110426344	0.0794624169674513	0.0432403876366741
AF8	0.0549319494049847	0.0664728785564758	0.0012599017645204
F9	-0.0719200695538433	0.0400491675165332	-0.0391067566489234
F7	-0.0708204691934873	0.040153234495631	-0.0003977665209734
F5	-0.0635347785079349	0.0451339380999023	0.0266026156542629
F3	-0.0493847283836248	0.0496591047450529	0.0507788153953548
F1	-0.0269388955839328	0.0529253984969059	0.0676531756687883
Fz	0.000479208202084	0.0544294712466611	0.0746189130473796
F2	0.0279172601069479	0.0534824837150213	0.0681276379382506
F4	0.0504019360413014	0.0506007427788517	0.0512480803906933
F6	0.0644736445350185	0.0463010922923489	0.0269806173420169
F8	0.0716427067493973	0.0414322274794438	-8.66406980105438e-05
F10	0.0743359276156109	0.040777428726348	-0.0388843048593927
FT9	-0.0815214730494951	0.0119587109063013	-0.0401407891589863
FT7	-0.0813914363732593	0.0112158044712079	-0.0015728091034477
FC5	-0.0757689007593723	0.0138682267434461	0.0326430889583354
FC3	-0.0599106607148846	0.0163770481472205	0.0633745088463384
FC1	-0.0332086553084157	0.0183562582728159	0.0854211142220363
FCz	0.0005614944497306	0.0194409806887125	0.0945409069900452
FC2	0.0335457021732133	0.019140263752495	0.0854556696248649
FC4	0.0603616019789147	0.0178027844463694	0.063611148831316
FC6	0.0769526443868325	0.0156948931341934	0.0331587753832555
FT8	0.0820648415174289	0.0131583553037296	-0.0011863742116163
FT10	0.0839538264893574	0.0131874383393136	-0.0398675774667275
T9	-0.0827097135870027	-0.0181370355479935	-0.0408934549397819
T7	-0.0835937487603662	-0.019525372193334	-0.0023491726668447
C5	-0.0820810897923946	-0.020811626682403	0.0361562971843083
C3	-0.0670234260195356	-0.0218716728586043	0.0711910468514749
C1	-0.037157513370015	-0.0224066656081856	0.0953422064172467
Cz	-0.0001033324215976	-0.0223617287453268	0.104808602517519
C2	0.0371028031660319	-0.0216680617340279	0.0955559121279765
C4	0.0669887397285408	-0.020536116614284	0.071500007411479
C6	0.0817776675180596	-0.0191693679406355	0.0362664326209568
T8	0.0852272127651827	-0.0168727641993645	-0.0019606188397811
T10	0.0834211630255213	-0.0164828305635504	-0.040522563293326
TP7	-0.0819319302716329	-0.050313186491959	-0.0029245392782304
CP5	-0.0801502647931555	-0.0539831573075331	0.0338723249083209
CP3	-0.0639472450913855	-0.0569376975651329	0.066480946742409
CP1	-0.0352056064002067	-0.0586818060521841	0.0896062472267399
CPz	0.0012568996337269	-0.0586791291296895	0.096949368711512
CP2	0.0368463412800938	-0.0573147874254576	0.0905969427762103
CP4	0.0655177125650338	-0.0544239207542547	0.0676903800472753
CP6	0.0802932403073166	-0.0507521780589653	0.034222417226468
TP8	0.0834651635390172	-0.0469897325574605	-0.0024913627317454
P9	-0.0706491974210579	-0.0763231460551085	-0.0417881445305015
P7	-0.0733143023678992	-0.0798926050129789	-0.0031102937996744
P5	-0.0680123253098727	-0.0846413251564195	0.0258718110345045
P3	-0.0518992809676258	-0.0883889456105598	0.0505829878628514
P1	-0.0277057195937326	-0.0906551722681681	0.0677536650486635
Pz	0.001849368905695	-0.0907160940487649	0.0726711555824476
P2	0.0310141487174543	-0.0893794100234815	0.0692392467671665
P4	0.054916710261992	-0.0858427154288949	0.0519478134424029
P6	0.0689832928886881	-0.0811130856342705	0.0260647580759801
P8	0.0753775077369245	-0.0760993039735263	-0.0026863672658036
P10	0.0739449104331882	-0.0739393717663847	-0.0414784715750218
PO9	-0.05197937541018	-0.0997754012896665	-0.0416096989787222
PO7	-0.0541676472693924	-0.10379581413119	-0.0026235420783083
POz	0.0024614151754572	-0.112273025947628	0.0387895039497594
PO8	0.0575904612306775	-0.100325332614626	-0.0022979957151223
PO10	0.0576528842499382	-0.0982396349876328	-0.0414282155249872
O1	-0.0274739525289969	-0.118933752950687	-0.001553724537091
Oz	0.0030278390474609	-0.122432470113388	-3.44789193595093e-05
O2	0.0325761868875559	-0.116985044736657	-0.0013942802904455
I1	-0.026558525226297	-0.115993543151642	-0.0409979435751963
Iz	0.0034659675018193	-0.117416783675416	-0.0398592714008632
I2	0.0327644623068528	-0.114257852074429	-0.0408715430664998
