Name	ch_type	x	y	z	ex	ey	ez
MLT35	grad	0.0006	0.1117	0.0187	-0.0989	0.9944	0.036
MLT36	grad	-0.0225	0.1095	0.0182	-0.2191	0.9753	0.0284
MLT37	grad	-0.0438	0.0949	0.0188	-0.3849	0.9228	0.0176
MLT41	grad	0.0843	0.094	-0.0012	0.3624	0.9298	0.0644
MLT42	grad	0.0613	0.1016	0.0034	0.2633	0.9629	0.0584
MLT43	grad	0.0345	0.1123	-0.0002	0.0054	0.9991	0.0426
MLT44	grad	0.0119	0.1132	0.0004	-0.0642	0.9972	0.0382
MLT45	grad	-0.0107	0.1119	0	-0.1679	0.9853	0.0316
MLT46	grad	-0.0351	0.1056	0.0004	-0.3362	0.9416	0.0208
MLT47	grad	-0.0528	0.0862	0.0001	-0.539	0.8422	0.0074
MLT51	grad	0.0695	0.101	-0.0161	0.3133	0.9477	0.0614
MLT52	grad	0.0471	0.1097	-0.0185	0.0923	0.9946	0.048
MLT53	grad	0.0235	0.1138	-0.0189	-0.0468	0.9981	0.0393
MLT54	grad	0.0002	0.1147	-0.0184	-0.1162	0.9926	0.0349
MLT55	grad	-0.0236	0.1105	-0.0179	-0.2865	0.9578	0.024
MLT56	grad	-0.0442	0.0953	-0.0183	-0.4482	0.8938	0.0135
MLT57	grad	-0.0622	0.0798	-0.0185	-0.6375	0.7705	0.0007
MRC11	grad	0.0861	-0.0115	0.1354	0.364	-0.0387	0.9306
MRC12	grad	0.0745	-0.0299	0.1375	0.2842	-0.1953	0.9387
MRC13	grad	0.0664	-0.05	0.1339	0.2536	-0.3802	0.8894
MRC14	grad	0.0545	-0.0691	0.126	0.2491	-0.5755	0.7789
MRC15	grad	0.0415	-0.0833	0.118	0.1773	-0.636	0.7511
MRC16	grad	0.0257	-0.0941	0.1069	0.2658	-0.8355	0.4809
MRC17	grad	0.0077	-0.0984	0.0918	-0.0914	-0.9603	0.2635
MRC21	grad	0.0533	-0.033	0.1422	0.216	-0.2101	0.9535
MRC22	grad	0.0453	-0.0528	0.1375	0.1949	-0.3849	0.9022
MRC23	grad	0.0328	-0.0692	0.1306	0.1314	-0.5796	0.8042
MRC24	grad	0.0172	-0.0814	0.1235	0.2153	-0.6629	0.7171
MRC25	grad	-0.0001	-0.0897	0.1104	-0.1131	-0.8657	0.4876
MRC31	grad	0.0131	-0.0622	0.1375	0.0496	-0.5108	0.8582
MRC32	grad	-0.0059	-0.0767	0.1271	-0.2587	-0.7498	0.6089
MRC41	grad	0.0258	-0.045	0.1437	0.1343	-0.3089	0.9416
MRC42	grad	-0.0083	-0.058	0.1392	-0.11	-0.5031	0.8572
MRC51	grad	0.0498	-0.0118	0.1457	0.2107	-0.0566	0.9759
MRC52	grad	0.0317	-0.0242	0.1478	0.1647	-0.1343	0.9772
MRC53	grad	0.0044	-0.0417	0.1466	0.0186	-0.2886	0.9573
MRC54	grad	-0.0188	-0.0398	0.1448	-0.2062	-0.2786	0.938
MRC55	grad	-0.0378	-0.0298	0.1409	-0.4403	-0.216	0.8715
MRC61	grad	0.0131	-0.0126	0.1511	0.0824	-0.0677	0.9943
MRC62	grad	-0.0063	-0.0229	0.1504	-0.0653	-0.1463	0.9871
MRC63	grad	-0.0263	-0.0124	0.1482	-0.2851	-0.0959	0.9537
MRF11	grad	0.1486	-0.0232	0.048	0.9722	-0.2142	0.0942
MRF12	grad	0.1406	-0.0443	0.0454	0.8971	-0.433	0.0879
MRF13	grad	0.1294	-0.0633	0.0385	0.7828	-0.6172	0.0794
MRF14	grad	0.1146	-0.0774	0.0285	0.5779	-0.8135	0.0652
MRF21	grad	0.1481	-0.0113	0.0681	0.9725	-0.1452	0.1818
MRF22	grad	0.1435	-0.0331	0.0667	0.9373	-0.3091	0.1611
MRF23	grad	0.1356	-0.0527	0.064	0.9248	-0.3452	0.16
MRF24	grad	0.1213	-0.0704	0.058	0.6196	-0.782	0.068
MRF25	grad	0.1061	-0.0821	0.0479	0.49	-0.8697	0.0593
MRF31	grad	0.1399	-0.0225	0.0865	0.9005	-0.2096	0.381
MRF32	grad	0.1339	-0.0433	0.084	0.8953	-0.333	0.2959
MRF33	grad	0.1224	-0.0638	0.0801	0.6274	-0.7067	0.327
MRF34	grad	0.1075	-0.0779	0.0731	0.5277	-0.8392	0.1316
MRF35	grad	0.0912	-0.0879	0.063	0.3952	-0.9159	0.0705
MRF41	grad	0.1312	-0.0112	0.1051	0.7893	-0.0772	0.6091
MRF42	grad	0.1281	-0.0328	0.1038	0.8522	-0.1802	0.4912
MRF43	grad	0.1181	-0.0541	0.1	0.6006	-0.5512	0.5792
MRF44	grad	0.1058	-0.0713	0.0951	0.5602	-0.648	0.5161
MRF45	grad	0.09	-0.0851	0.084	0.3743	-0.9193	0.1214
MRF46	grad	0.0715	-0.0948	0.0697	0.3761	-0.9207	0.1041
MRF51	grad	0.1171	-0.0186	0.1202	0.6845	0.0593	0.7266
MRF52	grad	0.1103	-0.0421	0.1166	0.4932	-0.3999	0.7725
MRF53	grad	0.0989	-0.0608	0.1128	0.5265	-0.553	0.6458
MRF54	grad	0.0854	-0.0768	0.1048	0.3917	-0.7263	0.5649
MRF55	grad	0.0698	-0.0912	0.0907	0.2956	-0.9254	0.2371
MRF56	grad	0.052	-0.1012	0.0765	0.3162	-0.9265	0.2042
MRF61	grad	0.097	-0.0293	0.1289	0.4338	-0.2137	0.8753
MRF62	grad	0.0875	-0.0486	0.1272	0.3778	-0.386	0.8416
MRF63	grad	0.0756	-0.0658	0.1213	0.3005	-0.5927	0.7473
MRF64	grad	0.0642	-0.0814	0.1114	0.2959	-0.6799	0.6709
MRF65	grad	0.0504	-0.0947	0.0985	0.2425	-0.9325	0.2677
MRF66	grad	0.034	-0.1019	0.0874	0.2713	-0.9479	0.1668
MRF67	grad	0.0163	-0.1037	0.0722	-0.1707	-0.9778	0.1217
MRO11	grad	-0.0961	-0.0248	0.0568	-0.9166	-0.3776	0.1311
MRO12	grad	-0.0882	-0.0465	0.0561	-0.9009	-0.4077	0.149
MRO13	grad	-0.0769	-0.0659	0.0556	-0.7911	-0.6029	0.1029
MRO14	grad	-0.0605	-0.082	0.0556	-0.596	-0.8018	0.0442
MRO21	grad	-0.1002	-0.0146	0.0375	-0.948	-0.3173	0.0258
MRO22	grad	-0.094	-0.0354	0.0378	-0.9418	-0.3333	0.0434
MRO23	grad	-0.084	-0.0563	0.0372	-0.8428	-0.5378	-0.0216
MRO24	grad	-0.0698	-0.0744	0.037	-0.688	-0.7256	-0.0133
MRO31	grad	-0.0974	-0.0251	0.0186	-0.9794	-0.2001	-0.0277
MRO32	grad	-0.09	-0.0464	0.0189	-0.902	-0.4311	-0.0245
MRO33	grad	-0.0775	-0.0656	0.0185	-0.7821	-0.6229	-0.0185
MRO34	grad	-0.0611	-0.0817	0.0184	-0.6222	-0.7828	-0.0096
MRO41	grad	-0.0984	-0.0138	0.0006	-0.9924	-0.114	-0.0454
MRO42	grad	-0.0937	-0.0359	-0.0003	-0.9471	-0.318	-0.044
MRO43	grad	-0.0834	-0.0557	-0.0008	-0.8514	-0.5231	-0.0395
MRO44	grad	-0.0694	-0.0737	0	-0.6997	-0.7137	-0.0314
MRO51	grad	-0.0957	-0.0242	-0.0194	-0.9787	-0.2001	-0.0451
MRO52	grad	-0.0881	-0.0457	-0.02	-0.9087	-0.4153	-0.0423
MRO53	grad	-0.0764	-0.0655	-0.0195	-0.7814	-0.623	-0.0359
MRP11	grad	-0.0551	-0.0197	0.1315	-0.6465	-0.1498	0.7481
MRP12	grad	-0.0352	-0.051	0.1345	-0.3976	-0.4266	0.8124
MRP21	grad	-0.0699	-0.0125	0.1176	-0.7892	-0.0907	0.6074
MRP22	grad	-0.0535	-0.0416	0.1274	-0.6275	-0.3088	0.7147
MRP23	grad	-0.0257	-0.069	0.127	-0.2944	-0.64	0.7097
MRP31	grad	-0.0799	-0.0221	0.1009	-0.8623	-0.1735	0.4758
MRP32	grad	-0.0687	-0.038	0.1115	-0.7748	-0.2809	0.5664
MRP33	grad	-0.0581	-0.0588	0.113	-0.7546	-0.4128	0.5101
MRP34	grad	-0.0408	-0.0754	0.1129	-0.3195	-0.7176	0.6189
