Name	x	y	z	ex	ey	ez
MEG0812	0.0003	0.1581	0.0501	-0.0112	0.986	0.1666
MEG0811	0.0003	0.1581	0.0501	-0.0112	0.986	0.1666
MEG0822	0.0002	0.148	0.0825	-0.0049	0.907	0.421
MEG0823	0.0002	0.148	0.0825	-0.0049	0.907	0.421
MEG0821	0.0002	0.148	0.0825	-0.0049	0.907	0.421
MEG0913	0.0334	0.1532	0.0491	0.2616	0.9542	0.1453
MEG0912	0.0334	0.1532	0.0491	0.2616	0.9542	0.1453
MEG0911	0.0334	0.1532	0.0491	0.2616	0.9542	0.1453
MEG0923	0.0642	0.1386	0.0467	0.6219	0.778	0.089
MEG0922	0.0642	0.1386	0.0467	0.6219	0.778	0.089
MEG0921	0.0642	0.1386	0.0467	0.6219	0.778	0.089
MEG0932	0.0675	0.1249	0.079	0.6744	0.6573	0.3364
MEG0933	0.0675	0.1249	0.079	0.6744	0.6573	0.3364
MEG0931	0.0675	0.1249	0.079	0.6744	0.6573	0.3364
MEG0942	0.034	0.1436	0.0815	0.2621	0.883	0.3895
MEG0943	0.034	0.1436	0.0815	0.2621	0.883	0.3895
MEG0941	0.034	0.1436	0.0815	0.2621	0.883	0.3895
MEG1013	0.0002	0.1281	0.1115	-0.0277	0.7171	0.6964
MEG1012	0.0002	0.1281	0.1115	-0.0277	0.7171	0.6964
MEG1011	0.0002	0.1281	0.1115	-0.0277	0.7171	0.6964
MEG1023	0.036	0.1235	0.1099	0.2684	0.6789	0.6834
MEG1022	0.036	0.1235	0.1099	0.2684	0.6789	0.6834
MEG1021	0.036	0.1235	0.1099	0.2684	0.6789	0.6834
MEG1032	0.0371	0.0955	0.1298	0.3053	0.4832	0.8205
MEG1033	0.0371	0.0955	0.1298	0.3053	0.4832	0.8205
MEG1031	0.0371	0.0955	0.1298	0.3053	0.4832	0.8205
MEG1043	0.0187	0.0657	0.1464	0.1259	0.2893	0.9489
MEG1042	0.0187	0.0657	0.1464	0.1259	0.2893	0.9489
MEG1041	0.0187	0.0657	0.1464	0.1259	0.2893	0.9489
MEG1112	0.0529	0.0613	0.1358	0.4762	0.2238	0.8504
MEG1113	0.0529	0.0613	0.1358	0.4762	0.2238	0.8504
MEG1111	0.0529	0.0613	0.1358	0.4762	0.2238	0.8504
MEG1123	0.0814	0.06	0.1127	0.7469	0.2385	0.6207
MEG1122	0.0814	0.06	0.1127	0.7469	0.2385	0.6207
MEG1121	0.0814	0.06	0.1127	0.7469	0.2385	0.6207
MEG1133	0.0834	0.0249	0.1165	0.7641	0.0435	0.6436
MEG1132	0.0834	0.0249	0.1165	0.7641	0.0435	0.6436
MEG1131	0.0834	0.0249	0.1165	0.7641	0.0435	0.6436
MEG1142	0.054	0.0271	0.1406	0.4897	0.0482	0.8706
MEG1143	0.054	0.0271	0.1406	0.4897	0.0482	0.8706
MEG1141	0.054	0.0271	0.1406	0.4897	0.0482	0.8706
MEG1213	0.0867	0.1115	0.0445	0.8642	0.5	0.0558
MEG1212	0.0867	0.1115	0.0445	0.8642	0.5	0.0558
MEG1211	0.0867	0.1115	0.0445	0.8642	0.5	0.0558
MEG1223	0.1009	0.079	0.0467	0.9465	0.3191	0.0474
MEG1222	0.1009	0.079	0.0467	0.9465	0.3191	0.0474
MEG1221	0.1009	0.079	0.0467	0.9465	0.3191	0.0474
MEG1232	0.0892	0.0916	0.0788	0.8603	0.3851	0.3339
MEG1233	0.0892	0.0916	0.0788	0.8603	0.3851	0.3339
MEG1231	0.0892	0.0916	0.0788	0.8603	0.3851	0.3339
MEG1243	0.0703	0.0943	0.1084	0.6653	0.4172	0.6191
MEG1242	0.0703	0.0943	0.1084	0.6653	0.4172	0.6191
MEG1241	0.0703	0.0943	0.1084	0.6653	0.4172	0.6191
MEG1312	0.0995	0.0564	0.082	0.9246	0.1848	0.3331
MEG1313	0.0995	0.0564	0.082	0.9246	0.1848	0.3331
