label	x	y	z
AF7	-0.5590	0.7695	0.3090
AF8	0.5590	0.7695	0.3090
AFz	0.0000	0.8090	0.5878
C1	-0.3090	0.0000	0.9511
C2	0.3090	0.0000	0.9511
C3	-0.5878	0.0000	0.8090
C4	0.5878	0.0000	0.8090
C5	-0.8090	0.0000	0.5878
C6	0.8090	0.0000	0.5878
CP1	-0.2911	-0.3079	0.9058
CP2	0.2911	-0.3079	0.9058
CP3	-0.5547	-0.3048	0.7742
CP4	0.5547	-0.3048	0.7742
CP5	-0.7658	-0.3000	0.5688
CP6	0.7658	-0.3000	0.5688
CPz	0.0000	-0.3090	0.9511
Cz	0.0000	0.0000	1.0000
F1	-0.2394	0.5858	0.7743
F10	0.8090	0.5878	0.0000
F2	0.2394	0.5858	0.7743
F3	-0.4591	0.5800	0.6730
F4	0.4591	0.5800	0.6730
F5	-0.6408	0.5708	0.5135
F6	0.6408	0.5708	0.5135
F7	-0.7695	0.5590	0.3090
F8	0.7695	0.5590	0.3090
F9	-0.8090	0.5878	0.0000
FC1	-0.2911	0.3079	0.9058
FC2	0.2911	0.3079	0.9058
FC3	-0.5547	0.3048	0.7742
FC4	0.5547	0.3048	0.7742
FC5	-0.7658	0.3000	0.5688
FC6	0.7658	0.3000	0.5688
FCz	0.0000	0.3090	0.9511
FT10	0.9511	0.3090	0.0000
FT7	-0.9045	0.2939	0.3090
FT8	0.9045	0.2939	0.3090
FT9	-0.9511	0.3090	0.0000
Fp1	-0.2939	0.9045	0.3090
Fp2	0.2939	0.9045	0.3090
Fpz	0.0000	0.9511	0.3090
Fz	0.0000	0.5878	0.8090
I1	-0.3090	-0.9511	0.0000
I2	0.3090	-0.9511	0.0000
Iz	0.0000	-1.0000	0.0000
LPA	-1.0000	0.0000	0.0000
NAS	0.0000	1.0000	0.0000
Nz	0.0000	1.0000	0.0000
O1	-0.2939	-0.9045	0.3090
O2	0.2939	-0.9045	0.3090
Oz	0.0000	-0.9511	0.3090
P1	-0.2394	-0.5858	0.7743
P10	0.8090	-0.5878	0.0000
P2	0.2394	-0.5858	0.7743
P3	-0.4591	-0.5800	0.6730
P4	0.4591	-0.5800	0.6730
P5	-0.6408	-0.5708	0.5135
P6	0.6408	-0.5708	0.5135
P7	-0.7695	-0.5590	0.3090
P8	0.7695	-0.5590	0.3090
P9	-0.8090	-0.5878	0.0000
PO10	0.5878	-0.8090	0.0000
PO7	-0.5590	-0.7695	0.3090
PO8	0.5590	-0.7695	0.3090
PO9	-0.5878	-0.8090	0.0000
POz	0.0000	-0.8090	0.5878
Pz	0.0000	-0.5878	0.8090
RPA	1.0000	0.0000	0.0000
T10	1.0000	0.0000	0.0000
T7	-0.9511	0.0000	0.3090
T8	0.9511	0.0000	0.3090
T9	-1.0000	0.0000	0.0000
TP7	-0.9045	-0.2939	0.3090
TP8	0.9045	-0.2939	0.3090
